RunTime,ModelScore,ModelRow,ModelColumn,MatchTime,AlgoriTime,BitmapTime,Flag
2018-07-25 16:07:40:50,0.972,437.615,1282.124,9.616,111.480,352.577,True
2018-07-25 16:07:41:16,0.913,430.789,1284.904,11.717,109.259,343.346,True
2018-07-25 16:07:41:83,0.908,429.128,1279.893,9.946,121.047,342.401,True
2018-07-25 16:07:42:49,0.916,434.979,1284.579,10.388,110.146,340.939,True
2018-07-25 16:07:43:16,0.886,432.26,1281.98,11.297,117.842,346.530,True
2018-07-25 16:07:43:81,0.909,431.955,1282.829,9.742,117.951,343.315,True
2018-07-25 16:07:44:49,0.912,437.571,1278.471,9.880,116.424,345.949,True
2018-07-25 16:07:45:14,0.901,433,1277.602,9.680,120.334,342.170,True
2018-07-25 16:07:45:83,0.887,431.043,1282.881,11.910,119.644,344.099,True
2018-07-25 16:07:46:49,0.91,432.272,1280.865,9.384,117.734,345.079,True
2018-07-25 16:07:47:16,0.937,444.782,1282.389,12.369,119.302,342.924,True
2018-07-25 16:07:47:83,0.926,430.152,1280.629,9.754,116.316,347.945,True
2018-07-25 16:07:48:49,0.937,429.74,1285.295,9.753,116.551,343.894,True
2018-07-25 16:07:49:17,0.919,445.657,1288.576,12.086,122.243,345.170,True
2018-07-25 16:07:49:83,0.898,448.214,1280.359,9.693,105.572,350.322,True
2018-07-25 16:07:50:50,0.905,429.1,1282.488,9.714,111.597,346.746,True
2018-07-25 16:07:51:17,0.923,431.936,1282.881,10.633,117.152,349.777,True
2018-07-25 16:07:51:84,0.917,430.108,1281.184,10.058,119.489,342.963,True
2018-07-25 16:07:52:53,0.879,433.617,1281.876,9.913,118.578,364.301,True
2018-07-25 16:07:53:20,0.94,431.106,1284.539,9.501,117.096,346.249,True
2018-07-25 16:07:53:87,0.915,432.379,1279.157,9.782,121.840,342.195,True
2018-07-25 16:07:54:53,0.935,442.882,1279.365,9.771,112.368,346.753,True
2018-07-25 16:07:55:20,0.91,428.985,1283.514,10.173,118.940,341.427,True
2018-07-25 16:07:55:87,0.909,430.315,1285.13,10.729,113.526,348.951,True
2018-07-25 16:07:56:54,0.899,430.077,1283.124,10.166,114.403,346.241,True
2018-07-25 16:07:57:21,0.901,431.258,1287.956,9.997,119.432,342.552,True
2018-07-25 16:07:57:89,0.926,436.14,1284.003,9.591,115.583,347.387,True
2018-07-25 16:07:58:56,0.923,439.56,1283.166,11.238,123.918,345.502,True
2018-07-25 16:07:59:21,0.926,428.108,1279.236,10.369,119.440,343.716,True
2018-07-25 16:07:59:89,0.885,435.383,1280.097,10.569,108.847,343.442,True
2018-07-25 16:07:00:57,0.905,443.393,1285.947,9.569,131.465,346.170,True
2018-07-25 16:07:01:21,0.902,439.454,1278.148,10.358,107.116,340.193,True
2018-07-25 16:07:01:87,0.922,430.092,1280.374,9.838,109.202,339.680,True
2018-07-25 16:07:02:53,0.92,433.052,1280.028,9.392,112.317,342.457,True
2018-07-25 16:07:03:18,0.88,447.497,1285.943,9.919,106.909,335.130,True
2018-07-25 16:07:03:84,0.929,430.023,1280.442,9.861,114.676,343.934,True
2018-07-25 16:07:04:50,0.947,428.354,1283.53,9.752,118.921,335.377,True
2018-07-25 16:07:05:17,0.942,432.285,1284.495,13.878,120.394,343.381,True
2018-07-25 16:07:05:84,0.948,433.609,1282.652,9.422,106.711,345.644,True
2018-07-25 16:07:06:51,0.913,432.252,1284.516,13.552,116.487,346.172,True
2018-07-25 16:07:07:21,0.919,431.248,1277.28,10.008,117.090,359.380,True
2018-07-25 16:07:07:87,0.899,432.476,1285.002,11.494,116.629,342.067,True
2018-07-25 16:07:08:53,0.89,434.567,1274.53,10.037,122.053,337.238,True
2018-07-25 16:07:09:20,0.897,436.343,1283.992,10.057,126.200,341.332,True
2018-07-25 16:07:09:87,0.975,436.088,1278.867,10.910,111.322,349.160,True
2018-07-25 16:07:10:53,0.966,432.181,1278.799,10.011,112.716,338.152,True
2018-07-25 16:07:11:20,0.982,432.027,1286.652,9.594,117.917,344.386,True
2018-07-25 16:07:11:87,0.896,435.166,1283.406,9.458,118.008,346.403,True
2018-07-25 16:07:12:53,0.925,431.464,1287.765,10.152,116.369,345.641,True
2018-07-25 16:07:13:18,0.866,431.169,1283.855,9.943,115.481,343.719,True
2018-07-25 16:07:13:85,0.908,430.723,1281.961,14.300,114.590,346.516,True
2018-07-25 16:07:14:52,0.975,433.789,1282.297,10.220,112.864,342.754,True
2018-07-25 16:07:15:17,0.975,436.334,1283.769,9.477,109.961,336.395,True
2018-07-25 16:07:15:86,0.962,438.083,1278.761,10.457,122.900,344.246,True
2018-07-25 16:07:16:52,0.965,432.346,1280.477,10.150,117.009,347.789,True
2018-07-25 16:07:17:19,0.967,430.349,1279.388,9.879,117.942,344.242,True
2018-07-25 16:07:17:84,0.97,432.441,1288.745,10.914,116.584,348.405,True
2018-07-25 16:07:18:52,0.973,435.085,1282.277,9.861,114.253,343.149,True
2018-07-25 16:07:19:17,0.983,431.401,1279.253,9.480,116.785,344.424,True
2018-07-25 16:07:19:84,0.97,431.206,1283.539,10.426,114.325,345.884,True
2018-07-25 16:07:20:52,0.972,432.282,1280.334,14.648,113.562,345.733,True
2018-07-25 16:07:21:19,0.945,430.818,1277.188,9.954,112.088,339.695,True
2018-07-25 16:07:21:84,0.971,433.671,1281.016,9.543,109.029,349.579,True
2018-07-25 16:07:22:53,0.971,429.11,1277.296,11.357,123.621,344.719,True
2018-07-25 16:07:23:19,0.98,433.297,1279.859,14.346,119.095,342.684,True
2018-07-25 16:07:23:88,0.961,431.323,1279.041,9.973,123.919,346.781,True
2018-07-25 16:07:24:53,0.957,442.566,1278.57,10.355,121.359,339.397,True
2018-07-25 16:07:25:19,0.98,431.106,1277.08,9.933,112.993,344.134,True
2018-07-25 16:07:25:88,0.967,441.035,1282.045,10.098,112.574,343.454,True
2018-07-25 16:07:26:58,0.977,430.768,1281.419,11.030,155.572,352.542,True
2018-07-25 16:07:27:24,0.972,433.309,1286.022,9.730,114.013,343.798,True
2018-07-25 16:07:27:91,0.983,433.307,1288.987,9.858,114.164,343.618,True
2018-07-25 16:07:28:58,0.983,436.249,1278.091,10.112,117.022,348.023,True
2018-07-25 16:07:29:24,0.968,436.896,1283.371,9.521,116.880,338.487,True
2018-07-25 16:07:29:91,0.983,430.061,1279.404,9.550,116.967,350.035,True
